Designator,Mid X,Mid Y,Layer,rotation,mpn,pack,value,mount_type,place
C1,53.8,-11.6,top,0,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt,True
C10,60.2,-11.6,top,180,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt,True
C11,60.4,-9.8,top,180,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1uF,smt,True
C12,60.4,-8,top,180,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100nF,smt,True
C13,70.4,-11.6,top,0,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt,True
C14,70.6,-9.8,top,0,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1uF,smt,True
C15,70.6,-8,top,0,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100nF,smt,True
C16,74.4,-11.6,top,180,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt,True
C17,74.2,-9.8,top,180,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1uF,smt,True
C18,74.2,-8,top,180,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100nF,smt,True
C19,37.06,-18.419999,top,180,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100nF,smt,True
C2,53.6,-9.8,top,0,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1uF,smt,True
C20,19.291333,-17.033365,top,-45,,C_0402_1005Metric,12pF,smt,True
C21,22.194635,-13.95235,top,-45,,C_0402_1005Metric,12pF,smt,True
C22,25.5,-34.55,top,-45,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,4.7uF,smt,True
C23,53.8,-29.2,top,90,,C_0402_1005Metric,100nF,smt,True
C24,60.625,-18.9875,top,0,,C_0402_1005Metric,100nF,smt,True
C25,24.3,-17.4,top,45,,C_0402_1005Metric,100nF,smt,True
C26,31.59,-20.69,top,45,,C_0402_1005Metric,100nF,smt,True
C28,22.51,-31.55,top,-135,,C_0402_1005Metric,100nF,smt,True
C3,53.6,-8,top,0,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100nF,smt,True
C30,22.7,-18.55,top,135,,C_0402_1005Metric,100nF,smt,True
C31,25.35,-32.5,top,-45,,C_0402_1005Metric,100nF,smt,True
C32,21,-29.15,top,-135,,C_0402_1005Metric,100nF,smt,True
C34,22,-19.25,top,135,,C_0402_1005Metric,100nF,smt,True
C35,30.18,-19.28,top,45,,C_0402_1005Metric,100nF,smt,True
C36,28.2,-17.6,top,45,,C_0402_1005Metric,100nF,smt,True
C37,21.19,-19.87,top,135,,C_0402_1005Metric,100nF,smt,True
C38,31.44,-28.84,top,-45,,C_0402_1005Metric,100nF,smt,True
C39,21.77,-30.79,top,-135,,C_0402_1005Metric,100nF,smt,True
C4,49.8,-11.6,top,180,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt,True
C41,30.88,-20,top,45,,C_0402_1005Metric,100nF,smt,True
C42,30.69,-29.54,top,-45,,C_0402_1005Metric,100nF,smt,True
C43,23.35,-32.1,top,-135,,C_0402_1005Metric,100nF,smt,True
C44,19.45,-28.95,top,-135,,C_0402_1005Metric,100nF,smt,True
C45,28.8,-18.4,top,45,,C_0402_1005Metric,100nF,smt,True
C46,32.3,-21.4,top,45,,C_0402_1005Metric,100nF,smt,True
C5,50,-9.8,top,180,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1uF,smt,True
C6,50,-8,top,180,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100nF,smt,True
C7,64.2,-11.6,top,0,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt,True
C8,63.9375,-9.8,top,0,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1uF,smt,True
C9,63.9,-8,top,0,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100nF,smt,True
D1,17.595666,-39.604334,top,45,,SOT-23-3,D_TVS_Dual_AAC,smt,True
IC1,25.7,-24.7,top,-45,,QFN35P900X900X90-89N-D,T31ZX,smt,True
J1,14.1425,-48.8675,top,0,,USB_C_Receptacle_HRO_TYPE-C-31-M-12,USB Type-C,smt,True
J10,40.03,-46.72,top,90,,Jack_3.5mm_PJ320D_Horizontal,AudioJack4_Ground,smt,True
J13,2.54,-15.24,bottom,90,,SFW15R2STE1LF,SFW15R-2STE1LF,smt,True
J2,75.76,-27.82,top,90,,microSD_HC_Hirose_DM3D-SF,Micro_SD_Card,smt,True
R1,5.05,-47.71,top,90,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,0R,smt,True
R10,37.06,-21.619999,top,180,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,100k,smt,True
R11,37.06,-20.02,top,180,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,100k,smt,True
R12,51.5,-34,top,90,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,100k,smt,True
R13,53.9,-34,top,-90,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,100k,smt,True
R14,67.325,-38.1,top,180,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,100k,smt,True
R15,71.575,-18.9875,top,0,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,47k,smt,True
R16,68,-18.9875,top,180,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,47k,smt,True
R17,64.45,-18.9875,top,0,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,47k,smt,True
R18,56.5,-18.9875,top,0,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,47k,smt,True
R19,52.95,-18.9875,top,180,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,47k,smt,True
R2,53.6,-14.8,top,90,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,0R,smt,True
R20,49.35,-18.9875,top,0,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,47k,smt,True
R21,22.091476,-16.920228,top,45,,R_0402_1005Metric,1M,smt,True
R22,67.91,-21.11,top,-90,,R_0402_1005Metric,1M,smt,True
R24,57.2,-49.5,top,90,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,100k,smt,True
R25,7,-47.71,top,90,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,0R,smt,True
R3,50,-14.8,top,90,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,0R,smt,True
R4,13.53,-41.35,top,-90,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,5k1,smt,True
R5,21.17,-41.16,top,90,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,5k1,smt,True
R6,63.8,-14.8,top,90,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,0R,smt,True
R7,60.4,-14.8,top,90,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,0R,smt,True
R8,70.6,-14.8,top,90,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,0R,smt,True
R9,74.2,-14.8,top,90,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,0R,smt,True
S1,36.675,-13.225,top,0,,CJS-1200TA,CJS-1200TA,smt,True
S2,37.025,-8.975,top,0,,SW_TL1015AF160QG,TL1015AF160QG,smt,True
SW2,50.1,-50.9,top,0,,SW_SPDT_CK-JS102011SAQN,SW_SPDT,smt,True
U1,51.8,-2.2,top,90,,SOT-223-3_TabPin2,AZ1117-3.3,smt,True
U2,62.2,-2.2,top,90,,SOT-223-3_TabPin2,AZ1117-1.8,smt,True
U3,72.39,-2.2,top,90,,SOT-223-3_TabPin2,MCP1826S,smt,True
U4,60.765,-33.3,top,90,,SOIC-8_5.23x5.23mm_P1.27mm,W25Q32JVSS,smt,True
Y1,20.75858,-15.566117,top,45,,Crystal_SMD_2016-4Pin_2.0x1.6mm,24 MHz,smt,True
